objID,ra,dec,z,zErr,photoz,photozErr,u,g,r,i,zmag,err_u,err_g,err_r,err_i,err_z
1237662473154003635,235.9084,36.08778,0.6372318,0.0001626548,0.627738,0.063967,23.64777,22.43921,21.20597,20.08332,19.50503,0.9619645,0.1617936,0.07990318,0.04189863,0.08815962
1237661465986007197,235.6484,36.151434,0.197373,2.348704E-05,0.195266,0.02556,19.70263,18.47638,17.54963,17.10273,16.81642,0.07581288,0.01153044,0.00819333,0.00826279,0.02029977
1237661465986007242,235.72714,36.146339,0.1570485,2.247754E-05,0.124521,0.03201,19.69406,18.05246,17.22304,16.89058,16.64838,0.0456008,0.006553797,0.005109048,0.005370168,0.01153811
1237661465986072866,235.8944,36.051354,0.1913277,4.319018E-05,0.196043,0.011867,21.02249,18.79647,17.49906,17.02279,16.70206,0.1615938,0.01137425,0.006455495,0.00634905,0.01396592
1237661465986072918,235.79597,36.101493,0.3656392,0.0001101736,0.361998,0.022436,23.20739,20.76226,18.99922,18.36525,17.94443,0.856695,0.04135393,0.01523249,0.01338689,0.0302019
1237661465986335146,236.42283,35.660888,0.05498169,2.251137E-05,0.046651,0.019293,19.13241,17.62904,17.08061,16.8184,16.59398,0.09028727,0.01088446,0.01004322,0.01208016,0.03391392
1237661465986335286,236.45468,35.680592,0.3816856,0.0001076152,0.347635,0.033753,22.75331,20.43272,18.77846,18.10682,17.76529,0.6888957,0.03674999,0.01443035,0.01244992,0.03008171
1237662473154134104,236.19515,35.950268,0.06286892,1.6518E-05,0.066089,0.009643,18.49921,16.4891,15.60366,15.18665,14.8849,0.02541292,0.003667157,0.002895844,0.002829326,0.004740403
1237662473154134107,236.24706,35.929934,0.06485599,2.317619E-05,0.098997,0.015247,20.49767,18.44379,17.51323,17.14261,16.83124,0.08121697,0.00847861,0.006040282,0.006297908,0.01178869
1237662473154265422,236.56117,35.739919,0.06869741,1.07948E-05,0.094367,0.019562,18.99698,17.72148,17.08169,16.718,16.482,0.04137239,0.007134346,0.005893423,0.006029848,0.01511125
1237662473154265479,236.60979,35.714427,0.1158771,3.192708E-05,0.110806,0.007002,19.75951,17.7466,16.72391,16.29514,15.91081,0.07023823,0.007173039,0.004759978,0.004597685,0.009150689
